trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
T4TOR173,337.0,337.0,10,2,0
T4TOR183,337.0,337.0,10,2,0
T4ANA032,347.0,347.0,10,12,0
T4ANA042,347.0,347.0,10,12,0
T4ANA062,347.0,347.0,10,12,0
T4ANA152,347.0,347.0,10,12,0
T4ANA162,347.0,347.0,10,12,0
T4ANA192,347.0,347.0,10,12,0
T4TOR014,357.0,357.0,10,3,0
T4TOR024,357.0,357.0,10,3,0
T4TOR054,357.0,357.0,10,3,0
T4TOR144,357.0,357.0,10,3,0
T4TOR174,357.0,357.0,10,2,0
T4TOR184,357.0,357.0,10,2,0
T4ANA013,358.0,358.0,10,12,0
T4ANA023,358.0,358.0,10,12,0
T4ANA053,358.0,358.0,10,12,0
T4ANA143,358.0,358.0,10,12,0
T4ANA173,358.0,358.0,10,12,0
T4ANA183,358.0,358.0,10,12,0
T4TOR033,362.0,362.0,10,3,0
T4TOR043,362.0,362.0,10,3,0
T4TOR063,362.0,362.0,10,3,0
T4TOR153,362.0,362.0,10,3,0
T4TOR163,362.0,362.0,10,3,0
T4TOR193,362.0,362.0,10,2,0
T4TOR015,376.0,376.0,10,3,0
T4TOR025,376.0,376.0,10,3,0
T4TOR055,376.0,376.0,10,3,0
T4TOR145,376.0,376.0,10,3,0
T4TOR175,376.0,376.0,10,2,0
T4TOR185,376.0,376.0,10,2,0
T4ANA014,377.0,377.0,10,12,0
T4ANA024,377.0,377.0,10,12,0
T4ANA033,377.0,377.0,10,12,0
T4ANA043,377.0,377.0,10,12,0
T4ANA054,377.0,377.0,10,12,0
T4ANA063,377.0,377.0,10,12,0
T4ANA144,377.0,377.0,10,12,0
T4ANA153,377.0,377.0,10,12,0
T4ANA163,377.0,377.0,10,12,0
T4ANA174,377.0,377.0,10,12,0
T4ANA184,377.0,377.0,10,12,0
T4ANA193,377.0,377.0,10,12,0
T4TOR016,387.0,387.0,10,3,0
T4TOR026,387.0,387.0,10,3,0
T4TOR056,387.0,387.0,10,3,0
T4TOR146,387.0,387.0,10,3,0
T4TOR176,387.0,387.0,10,2,0
T4TOR186,387.0,387.0,10,2,0
T4TOR034,393.0,393.0,10,3,0
T4TOR044,393.0,393.0,10,3,0
T4TOR064,393.0,393.0,10,3,0
T4TOR154,393.0,393.0,10,3,0
T4TOR164,393.0,393.0,10,3,0
T4TOR194,393.0,393.0,10,2,0
T4ANA015,397.0,397.0,10,12,0
T4ANA025,397.0,397.0,10,12,0
T4ANA055,397.0,397.0,10,12,0
T4ANA145,397.0,397.0,10,12,0
T4ANA175,397.0,397.0,10,12,0
T4ANA185,397.0,397.0,10,12,0
T4TOR017,397.0,397.0,10,3,0
T4TOR027,397.0,397.0,10,3,0
T4TOR057,397.0,397.0,10,3,0
T4TOR147,397.0,397.0,10,3,0
T4TOR177,397.0,397.0,10,2,0
T4TOR187,397.0,397.0,10,2,0
T4TOR018,405.0,405.0,10,3,0
T4TOR028,405.0,405.0,10,3,0
T4TOR058,405.0,405.0,10,3,0
T4TOR148,405.0,405.0,10,3,0
T4TOR178,405.0,405.0,10,2,0
T4TOR188,405.0,405.0,10,2,0
T4ANA034,408.0,408.0,10,12,0
T4ANA044,408.0,408.0,10,12,0
T4ANA064,408.0,408.0,10,12,0
T4ANA154,408.0,408.0,10,12,0
T4ANA164,408.0,408.0,10,12,0
T4ANA194,408.0,408.0,10,12,0
T4TOR035,411.0,411.0,10,3,0
T4TOR045,411.0,411.0,10,3,0
T4TOR065,411.0,411.0,10,3,0
T4TOR155,411.0,411.0,10,3,0
T4TOR165,411.0,411.0,10,3,0
T4TOR195,411.0,411.0,10,2,0
T4TOR019,413.0,413.0,10,3,0
T4TOR029,413.0,413.0,10,3,0
T4TOR059,413.0,413.0,10,3,0
T4TOR149,413.0,413.0,10,3,0
T4TOR179,413.0,413.0,10,2,0
T4TOR189,413.0,413.0,10,2,0
T4ANA016,416.0,416.0,10,12,0
T4ANA026,416.0,416.0,10,12,0
T4ANA056,416.0,416.0,10,12,0
T4ANA146,416.0,416.0,10,12,0
T4ANA176,416.0,416.0,10,12,0
T4ANA186,416.0,416.0,10,12,0
T4TOR0110,420.0,420.0,10,3,0
T4TOR0210,420.0,420.0,10,3,0
T4TOR0510,420.0,420.0,10,3,0
T4TOR1410,420.0,420.0,10,3,0
T4TOR1710,420.0,420.0,10,2,0
T4TOR1810,420.0,420.0,10,2,0
T4TOR036,422.0,422.0,10,3,0
T4TOR046,422.0,422.0,10,3,0
T4TOR066,422.0,422.0,10,3,0
T4TOR156,422.0,422.0,10,3,0
T4TOR166,422.0,422.0,10,3,0
T4TOR196,422.0,422.0,10,2,0
T4TOR0111,429.0,429.0,10,3,0
T4TOR0211,429.0,429.0,10,3,0
T4TOR0511,429.0,429.0,10,3,0
T4TOR1411,429.0,429.0,10,3,0
T4TOR1711,429.0,429.0,10,2,0
T4TOR1811,429.0,429.0,10,2,0
T4ANA017,432.0,432.0,10,12,0
T4ANA027,432.0,432.0,10,12,0
T4ANA057,432.0,432.0,10,12,0
T4ANA147,432.0,432.0,10,12,0
T4ANA177,432.0,432.0,10,12,0
T4ANA187,432.0,432.0,10,12,0
T4ANA035,433.0,433.0,10,12,0
T4ANA045,433.0,433.0,10,12,0
T4ANA065,433.0,433.0,10,12,0
T4ANA155,433.0,433.0,10,12,0
T4ANA165,433.0,433.0,10,12,0
T4ANA195,433.0,433.0,10,12,0
T4TOR0112,437.0,437.0,10,3,0
T4TOR0212,437.0,437.0,10,3,0
T4TOR0512,437.0,437.0,10,3,0
T4TOR1412,437.0,437.0,10,3,0
T4TOR1712,437.0,437.0,10,2,0
T4TOR1812,437.0,437.0,10,2,0
T4ANA018,440.0,440.0,10,12,0
T4ANA028,440.0,440.0,10,12,0
T4ANA058,440.0,440.0,10,12,0
T4ANA148,440.0,440.0,10,12,0
T4ANA178,440.0,440.0,10,12,0
T4ANA188,440.0,440.0,10,12,0
T4TOR037,442.0,442.0,10,3,0
T4TOR047,442.0,442.0,10,3,0
T4TOR067,442.0,442.0,10,3,0
T4TOR157,442.0,442.0,10,3,0
T4TOR167,442.0,442.0,10,3,0
T4TOR197,442.0,442.0,10,2,0
T4TOR0113,444.0,444.0,10,3,0
T4TOR0213,444.0,444.0,10,3,0
T4TOR0513,444.0,444.0,10,3,0
T4TOR1413,444.0,444.0,10,3,0
T4TOR1713,444.0,444.0,10,2,0
T4TOR1813,444.0,444.0,10,2,0
T4ANA019,448.0,448.0,10,12,0
T4ANA029,448.0,448.0,10,12,0
T4ANA059,448.0,448.0,10,12,0
T4ANA149,448.0,448.0,10,12,0
T4ANA179,448.0,448.0,10,12,0
T4ANA189,448.0,448.0,10,12,0
T4TOR0114,452.0,452.0,10,3,0
T4TOR0214,452.0,452.0,10,3,0
T4TOR0514,452.0,452.0,10,3,0
T4TOR1414,452.0,452.0,10,3,0
T4TOR1714,452.0,452.0,10,2,0
T4TOR1814,452.0,452.0,10,2,0
T4ANA0110,456.0,456.0,10,12,0
T4ANA0210,456.0,456.0,10,12,0
T4ANA0510,456.0,456.0,10,12,0
T4ANA1410,456.0,456.0,10,12,0
T4ANA1710,456.0,456.0,10,12,0
T4ANA1810,456.0,456.0,10,12,0
T4ANA036,457.0,457.0,10,12,0
T4ANA046,457.0,457.0,10,12,0
T4ANA066,457.0,457.0,10,12,0
T4ANA156,457.0,457.0,10,12,0
T4ANA166,457.0,457.0,10,12,0
T4ANA196,457.0,457.0,10,12,0
T4TOR0115,460.0,460.0,10,3,0
