route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
267.2,28,CJ,Est. Sants - L'Hospitalet (Ciutat De La Justícia),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=267,FFCC00,000000
268.4,22,L99,Castelldefels (Pl. Estació) - Aeroport T1,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=268,FFCC00,000000
269.1,35,A2,Aerobús (Pl. Catalunya - Aeroport Terminal T2),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=269,FFCC00,000000
292.7,25,L79,Barcelona (L'Illa) - St. Boi De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=292,FFCC00,000000
296.2,44,B9,Badalona (Bonavista-Bufalà-Morera-Bonavista),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=296,FFCC00,000000
297.3,44,B8,Badalona (Bonavista-Morera-Bufalà-Bonavista),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=297,FFCC00,000000
298.1,44,B84,Santa Coloma De G. (Santa Rosa-Cementiri),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=298,FFCC00,000000
299.3,44,B34,Tiana (El Carmelità) - Montgat (Pla De Montgat),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=299,FFCC00,000000
300.3,44,B35,Tiana (Can Gaietà) - Montgat (Pla De Montgat),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=300,FFCC00,000000
301.2,44,B80,Sta. Coloma De G. (Can Franquesa - Santa Eulàlia),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=301,FFCC00,000000
