stop_id,route_id,avg_time
1087,203.3,10.0
1087,204.3,20.0
1087,206.6,15.0
1087,207.2,13.066666666666606
1087,212.4,10.0
1087,213.4,10.0
1087,221.2,20.0
1088,204.3,10.0
1088,206.6,10.0
1088,212.4,5.0
1088,203.3,10.0
1088,207.2,15.0
1088,213.4,10.0
1088,221.2,20.0
1089,204.3,20.0
1089,206.6,15.0
1089,220.7,20.0
1089,221.2,20.0
109,221.2,20.0
109,395.1,20.0
109,226.3,20.0
109,225.4,20.0
1090,206.6,10.0
1090,204.3,10.0
1090,212.4,5.0
1090,203.3,10.0
1090,207.2,15.0
1090,221.2,20.0
1091,206.6,10.0
1091,204.3,10.0
1091,212.4,5.0
1091,203.3,10.0
1091,207.2,15.0
1091,221.2,20.0
1092,206.6,10.0
1092,204.3,10.0
1092,212.4,5.0
1092,203.3,10.0
1092,207.2,15.0
1092,221.2,20.0
1093,203.3,10.0
1093,204.3,20.0
1093,206.6,15.0
1093,207.2,13.116666666666674
1093,212.4,10.0
1093,221.2,20.0
1094,203.3,10.0
1094,204.3,20.0
1094,206.6,15.0
1094,207.2,14.0
1094,221.2,20.0
1096,203.3,10.0
1096,204.3,20.0
1096,206.6,15.0
1096,207.2,12.966666666666697
1096,212.4,10.0
1096,213.4,10.0
1096,221.2,20.0
1097,203.3,10.0
1097,204.3,20.0
1097,206.6,15.0
1097,207.2,13.150000000000091
1097,212.4,10.0
1097,213.4,10.0
1097,221.2,20.0
1098,204.3,10.0
1098,206.6,10.0
1098,212.4,5.0
1098,203.3,10.0
1098,207.2,15.0
1098,213.4,10.0
1098,221.2,20.0
1099,318.6,4.0
1099,137.5,6.0
1099,218.5,20.0
11,223.9,20.0
110,221.2,20.0
110,395.1,20.0
110,225.4,20.0
1100,318.6,4.0
1100,137.5,6.0
1100,218.5,20.0
1101,318.6,4.800000000000068
1101,137.5,6.383333333333326
1101,218.5,20.0
1102,158.4,30.0
1102,221.2,20.0
1103,221.2,20.0
1104,167.13,8.333333333333371
1104,221.2,20.0
1105,157.4,30.0
1105,158.4,30.0
1105,221.2,20.0
1109,181.4,10.0
111,181.4,10.0
1110,206.6,10.0
1110,197.3,15.0
1110,221.2,20.0
1111,206.6,10.0
1111,197.3,15.0
1111,221.2,20.0
1112,206.6,10.0
1112,197.3,15.0
1112,221.2,20.0
1113,145.4,2.0
1113,313.7,5.0
1113,229.6,17.0
1128,204.3,20.0
1128,170.1,5.0
1128,181.4,11.0
1128,220.7,20.0
1129,204.3,20.0
1129,181.4,11.0
1129,220.7,20.0
113,181.4,10.383333333333326
113,252.3,20.0
113,349.2,50.0
1130,204.3,20.0
1130,170.1,5.0
1130,181.4,11.0
1130,220.7,20.0
1131,204.3,20.0
1131,170.1,5.0
1131,181.4,11.0
1131,220.7,20.0
1132,325.5,9.533333333333303
1132,147.5,4.0
1132,146.4,7.800000000000011
1132,232.5,20.0
1133,146.4,7.783333333333303
1133,147.5,4.0
1133,232.5,20.0
1134,146.4,8.0
1134,147.5,4.0
1134,232.5,20.0
1135,146.4,7.899999999999977
1135,147.5,4.0
1135,232.5,20.0
1136,325.5,9.799999999999955
1136,147.5,3.9166666666666288
1136,146.4,8.0
1136,232.5,20.0
1139,226.3,20.0
114,181.4,10.450000000000045
1142,318.6,4.0
1142,137.5,6.0
1142,218.5,20.0
1144,318.6,4.0
1144,137.5,6.0
1144,218.5,20.0
1145,318.6,4.0
1145,137.5,6.0
1145,218.5,20.0
1147,325.5,9.916666666666742
1147,147.5,3.9166666666667425
1147,299.3,21.81666666666672
1147,300.3,39.5333333333333
1149,147.5,4.0
1149,300.3,39.55000000000007
1149,299.3,14.549999999999955
1154,195.6,10.0
1154,194.6,8.0
1154,203.3,10.0
1154,207.2,13.833333333333485
1154,200.5,14.083333333333371
1157,194.6,7.0
1157,203.3,10.0
1157,207.2,14.0
1162,208.4,30.0
1162,207.2,13.833333333333371
1162,209.4,50.0
1162,221.2,20.0
1164,268.4,30.0
1164,208.4,24.866666666666788
