service_id,date,exception_type
2.260.2010,20180228,1
2.260.2010,20180301,1
2.260.2010,20180302,1
2.260.2010,20180305,1
2.260.2010,20180306,1
2.260.2010,20180307,1
2.260.2010,20180308,1
2.260.2010,20180309,1
2.260.2010,20180312,1
2.260.2010,20180313,1
2.260.2010,20180314,1
2.260.2010,20180315,1
2.260.2010,20180316,1
2.260.2010,20180319,1
2.260.2010,20180320,1
2.260.2010,20180321,1
2.260.2010,20180322,1
2.260.2010,20180323,1
2.260.2010,20180326,1
2.260.2010,20180327,1
2.260.2010,20180328,1
2.260.2010,20180329,1
2.260.2010,20180403,1
2.260.2010,20180404,1
2.260.2010,20180405,1
2.260.2010,20180406,1
2.260.2010,20180409,1
2.260.2010,20180410,1
2.260.2010,20180411,1
2.260.2010,20180412,1
2.260.2010,20180413,1
2.260.2010,20180416,1
2.260.2010,20180417,1
2.260.2010,20180418,1
2.260.2010,20180419,1
2.260.2010,20180420,1
2.260.2010,20180423,1
2.260.2010,20180424,1
2.260.2010,20180425,1
2.260.2010,20180426,1
2.260.2010,20180427,1
2.260.2010,20180430,1
2.260.2010,20180502,1
2.260.2010,20180503,1
2.260.2010,20180504,1
2.260.2010,20180507,1
2.260.2010,20180508,1
