stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AOG,,Esclany�,,41.929285064390086,3.1882057408124362,,,,,,
AOH,,Banyoles,,42.117382004725485,2.7644113328378546,,,,,,
AOI,,B�scara,,42.15541510072785,2.9093030621200717,,,,,,
AOK,,Calabuig,,42.14755446727783,2.9244668937894507,,,,,,
AOL,,Bellcaire d'Empord�,,42.077143396507964,3.0972466272793997,,,,,,
AOM,,Besal�,,42.20029143746918,2.697592376637698,,,,,,
AON,,Bescan�,,41.96727396040502,2.7298095619113747,,,,,,
AOO,,la Bisbal d'Empord�,,41.96101049546914,3.038603488419931,,,,,,
AOR,,Blanes (R� Marina),,41.66998708043287,2.788153340063393,,,,,,
AOS,,Blanes (Telef�nica),,41.67719146732073,2.7874208792204147,,,,,,
AOT,,Blanes (Estaci� Bus),,41.667148956935804,2.782865211694047,,,,,,
AOU,,Blanes (Pl.Catalunya),,41.67211637618312,2.7901165305442057,,,,,,
AOV,,"Bolvir (ctra. N-260, pk 183,8) (A)",,42.417159008803885,1.880133564876605,,,,,,
AOX,,Borrass�,,42.22011985187543,2.926004091764159,,,,,,
AOY,,Breda,,41.74835875619979,2.559843756713953,,,,,,
AOZ,,Breda (estaci�),,41.74968321596623,2.5552762259314834,,,,,,
AP,,Aviny� Nou (Dr.Parellada - Avenir) MB0153,,41.36077171565945,1.776907788527341,,,,,,
APA,,Brunyola,,41.901906288287776,2.6660427351269758,,,,,,
APB,,Sant Mart� Sapresa,,41.9193853862613,2.65285500721336,,,,,,
APC,,Boadella d'Empord�,,42.32983138664312,2.856873359039963,,,,,,
APE,,Cabanes,,42.30887097666716,2.976897665903073,,,,,,
APF,,Queix�s,,42.21195608343239,2.8013501813012973,,,,,,
APG,,Cadaqu�s,,42.28969566238664,3.274147725319041,,,,,,
APH,,Caldes de Malavella,,41.84141950407631,2.7888776467050045,,,,,,
API,,Calonge,,41.8585188592632,3.079698005540705,,,,,,
APJ,,Sant Antoni de Calonge,,41.84763806762221,3.1029333382564683,,,,,,
APK,,Calonge (Avda. Unio),,41.85357797669505,3.0738610533146993,,,,,,
APL,,Campdev�nol,,42.22236109977723,2.167055992740259,,,,,,
APM,,Sant Crist�fol,,42.227079344994046,2.16815727247276,,,,,,
APN,,la Col�nia Pernau,,42.23743757681543,2.165827562791463,,,,,,
APO,,Campdev�nol (Hospital),,42.220398307549004,2.1658943746345134,,,,,,
APP,,Campelles,,42.2934267644662,2.139942579242773,,,,,,
APQ,,Campllong,,41.89706221946034,2.831430552238993,,,,,,
APR,,Camprodon (estaci� d'autobusos),,42.309800170187835,2.3652115957820197,,,,,,
APS,,la Col�nia Estabanell,,42.29464543681458,2.3592013791707735,,,,,,
APU,,Canet d'Adri,,42.02749264888318,2.7416104728165367,,,,,,
